,name
0,clock tower
1,darshan lal chowk
2,saharanpur chowk
3,isbt dehradun
4,graphic era hill university
5,astley hall
6,matawala bagh
7,daudwala
8,mathurawala
9,vishnupuram
10,bangali kothi
11,kargi chowk
12,rani pokhri
13,doiwala
14,lachiwala
15,kuanwala
16,harawala
17,miawala
18,mokampur
19,jogiwala
20,rispana
21,gujraunwala
22,raipur chowk
23,dobhal chowk
24,6 no. pulia
25,ring road
26,post office nehru gram
27,graphic era hill university (gehu)
28,hathibadkala
29,garhi cantt
30,vijay colony
31,chir bagh
32,cm house
33,ongc chowk
34,ballupur chowk
35,gms road
36,rajender nagar
37,yamuna colony
38,bindal pul
39,kishan nagar
40,blood bank
41,supply
42,it park dehradun
43,nala paani chowk
44,shastdhara crossing
45,ladpur
46,fountain chowk rispana
47,fountain chowk
48,nehru colony
49,kargi
50,nakrounda more
51,naya gaon palio
52,badowala
53,telpur
54,mehuwala
55,race course
56,dharampur
57,mata mandir
58,balbir road
59,rajpur
60,great value
61,dilaram bazar
62,nanni bakery dehradun
63,survey chowk
64,dwarka store
65,araghar
66,kulhal
67,vikas nagar
68,tehsil
69,harbatpur chowk
70,langa road
71,shaspur
72,selaqui
73,sudhowala
74,nanda ki chowki
75,premnagar
76,panditwari
77,vasant vihar
78,
79,selaqui chowk
80,baliwala chowk
81,bahuwala raja road
82,raja road
83,bansiwala
84,manduwala
85,prem nagar
86,balliwala chowk
