,name,Latitude,Longitude
0,clock tower,30.3243226,78.0418634
1,darshanlal chowk,,
2,saharanpur chowk,,
3,isbt dehradun,30.2879056,77.9980333
4,graphic era hill university,30.2727947,78.000611
5,asley hall,,
6,matawala bagh,,
7,daudwala,,
8,mathurawala,,
9,vishnupuram,,
10,bangali kothi,,
11,kargi chowk,30.2883671,78.0239389
12,ranipokhri,30.1836083,78.215349
13,doiwala,30.176359,78.1246442
14,lachiwala,30.1925703,78.124962
15,kuanwala,,
16,harawala,,
17,miawala,,
18,mokampur,,
19,jogiwala,30.2859268,78.0655924
20,rispana,30.2786012,78.0463122
21,gujraunwala,,
22,raipur chowk,,
23,dobhal chowk,,
24,6 no. pulia,,
25,ring road,30.3101605,78.0766078
26,post office nehru gram,,
27,graphic era hill university/gehu,,
28,hathibadkala,,
29,garhi cant,,
30,vijay coloney,,
31,chir bagh,,
32,cm house,,
33,ongc chowk,,
34,ballupur chowk,,
35,gms road,30.3250136,78.0129021
36,rajender nagar,,
37,yamuna coloney,,
38,bindal pul,,
39,kishan nagar,,
40,blood bank,30.319113,78.0422025
41,supply,30.3817091,78.0700235
42,it park dehradun,30.3616211,78.0853448
43,nala paani chowk,,
44,shastdhara crossing,,
45,ladpur,,
46,fountain chowk rispana,,
47,fountain chowk,30.3247726,78.0517468
48,nehru colony,30.3001307,78.0550729
49,kargi,30.2883671,78.0239389
50,nakrounda more,,
51,naya gaon palio,,
52,badowala,30.3019662,77.9526031
53,telpur,,
54,mehuwala,30.311503,77.982168
55,race course,,
56,dharampur,,
57,mata mandir,30.3820718,78.0726008
58,balbir road,30.3077331,78.053508
59,rajpur,30.3819398,78.0887349
60,great value,,
61,dilaram bazar,30.3366478,78.0568626
62,nanni bakery dehradun,,
63,survey chowk,30.3247726,78.0517468
64,dwarka store,,
65,araghar,,
66,kulhal,30.4287421,77.6296318
67,vikasnagar,30.3881655,77.8486162
68,tehsil,30.3207193,78.0410725
69,harbatpur chowk,,
70,langa road,,
71,shaspur,,
72,selaqui,30.3673822,77.8568964
73,sudhowala,,
74,nanda ki chowki,30.3437274,77.9532075
75,premnagar,30.335225,77.964001
76,panditwari,,
77,vasant vihar,30.3248465,77.9994366
78,selaqui chowk,,
79,baliwala chowk,,
80,bahuwala raja road,,
81,raja road,30.3173554,78.0361176
82,bansiwala,30.345736,77.8968789
83,manduwala,,
84,prem nagar,,
85,balliwalachowk,,
